id,code,name
5100,HSHM 920 01,Independent Reading
5101,HSHM 930 01,Independent Research
5114,HUMS 184 01,Writing and Reading Biography
5114,AMST 184 01,Writing and Reading Biography
5114,ENGL 437 01,Writing and Reading Biography
5115,HUMS 188 01,Public Plato: Ancient Wisdom in the Digital Age
5125,HUMS 228 01,Climate Change and the Humanities
5125,EVST 228 01,Climate Change and the Humanities
5125,HIST 459J 01,Climate Change and the Humanities
5125,LITR 345 01,Climate Change and the Humanities
5126,HUMS 231 01,Poetic Influence from Shakespeare to the Twenty-First Century
5126,ENGL 206 01,Poetic Influence from Shakespeare to the Twenty-First Century
5130,HUMS 258 01,Democracy and Education
5130,EDST 218 01,Democracy and Education
5130,PLSC 319 01,Democracy and Education
5137,HUMS 286 01,Mass Incarceration in the Soviet Union and the United States
5137,ER&M 279 01,Mass Incarceration in the Soviet Union and the United States
5137,HIST 295J 01,Mass Incarceration in the Soviet Union and the United States
5137,PHIL 433 01,Mass Incarceration in the Soviet Union and the United States
5138,HUMS 295 01,Trials of Uncertainty
5138,JDST 223 01,Trials of Uncertainty
5138,PLSC 307 01,Trials of Uncertainty
5147,HUMS 349 01,Identity in Modern Thought
5147,LITR 470 01,Identity in Modern Thought
5151,HUMS 389 01,Ecstasy
5151,RLST 154 01,Ecstasy
5152,HUMS 392 01,Computational Representation and the Humanities/Arts
5153,HUMS 395 01,Public Plato: Ancient Wisdom in the Digital Age
5153,PHIL 334 01,Public Plato: Ancient Wisdom in the Digital Age
5154,HUMS 411 01,Life Worth Living
5155,HUMS 411 02,Life Worth Living
5156,HUMS 411 03,Life Worth Living
5157,HUMS 411 04,Life Worth Living
5158,HUMS 411 05,Life Worth Living
5159,HUMS 411 06,Life Worth Living
5160,HUMS 411 07,Life Worth Living
5161,HUMS 411 08,Life Worth Living
5162,HUMS 411 09,Life Worth Living
5163,HUMS 411 10,Life Worth Living
5164,HUMS 417 01,Thinking Digitally about the Humanities
5165,HUMS 420 01,The Waste Land
5165,ENGL 355 01,The Waste Land
5165,LITR 219 01,The Waste Land
5169,HUMS 471 01,Special Studies in the Humanities
5170,HUMS 491 01,The Senior Essay
5171,HUMS 500 01,Seminar in Digital and Computational Methods in the Humanities
5172,IBIO 503 01,"Responsible Conduct of Research, Refresher Course"
5173,IBIO 503 02,"Responsible Conduct of Research, Refresher Course"
5174,IBIO 531 01,Advanced Immunology
5175,IBIO 538 01,Immunobiology Seminar: Advances in Immunotherapy: from Cancer to Transplantation
5177,IBIO 613 01,Research Rotation 3
5178,IMED 635 01,Directed Reading in Investigative Medicine
5179,IMED 655 01,Writing Your K- or R-Type Grant Proposal (I)
5180,IMED 662 01,"Methods in Clinical Research, Part III"
5181,IMED 670 01,Writing Your K- or R-Type Grant Proposal (II)
5183,INDN 120 01,Elementary Indonesian II
5184,INDN 120 02,Elementary Indonesian II
5185,INDN 140 01,Intermediate Indonesian II
5186,INDN 180 01,Research and Creative Project on Indonesia
5187,INDN 471 01,Independent Tutorial
5188,INDN 570 01,Readings in Indonesian
5189,INP 507 01,Cellular and Molecular Mechanisms of Neurological Disease
5190,INP 510 01,Structural and Functional Organization of the Human Nervous System
5191,INP 512 01,Lab Rotation for First-Year Students
5192,INP 514 01,Second-Year Thesis Research
5193,INP 521 01,Neuroimaging in Neuropsychiatry II: Clinical Applications
5194,INP 542 01,Developing and Writing Fellowship Proposals
5195,INP 542 02,Developing and Writing Fellowship Proposals
5196,INP 554 01,Human Molecular Diversity in the Context of Neuropsychiatric Disorders and Behavioral Traits
5199,INP 580 01,Bioethics in Neuroscience
5201,INP 599 01,Statistics and Data Analysis in Neuroscience
5202,INP 703 01,Foundations of Systems Neuroscience
5203,ITAL 120 01,Elementary Italian II
5204,ITAL 120 02,Elementary Italian II
5205,ITAL 120 03,Elementary Italian II
5206,ITAL 120 04,Elementary Italian II
5207,ITAL 120 05,Elementary Italian II
5208,ITAL 120 06,Elementary Italian II
5209,ITAL 125 01,Intensive Elementary Italian
5210,ITAL 140 01,Intermediate Italian II
5211,ITAL 140 02,Intermediate Italian II
5212,ITAL 151 01,Advanced Italian Workshop: The Translation Notebooks
5213,ITAL 172 01,Introduction to Italian Literature: From the Baroque to the Present
5214,ITAL 240 01,Women Intellectuals in Italy
5215,ITAL 303 01,Italian Film from Postwar to Postmodern
5215,FILM 457 01,Italian Film from Postwar to Postmodern
5215,LITR 359 01,Italian Film from Postwar to Postmodern
5216,ITAL 317 01,Women in the Middle Ages
5216,HUMS 210 01,Women in the Middle Ages
5216,LITR 180 01,Women in the Middle Ages
5216,WGSS 317 01,Women in the Middle Ages
5217,ITAL 338 01,Gender & the Avant-Garde
5217,HSAR 485 01,Gender & the Avant-Garde
5217,HUMS 318 01,Gender & the Avant-Garde
5217,LITR 222 01,Gender & the Avant-Garde
5217,WGSS 331 01,Gender & the Avant-Garde
5218,ITAL 470 01,Special Studies in Italian Literature
5219,ITAL 471 01,Special Studies in Italian Literature
5220,ITAL 491 01,The Senior Essay
5221,ITAL 570 01,Methods and Techniques in the Italian-Language Classroom
5222,ITAL 691 01,Directed Reading
5223,ITAL 721 01,Talking Animals
5224,ITAL 895 01,Dante and the Revolution of Poverty
5225,ITAL 946 01,"Early Modern Ecologies: Representing Peasants, Animals, Labor, Land"
5225,CPLT 658 01,"Early Modern Ecologies: Representing Peasants, Animals, Labor, Land"
5225,ENGL 699 01,"Early Modern Ecologies: Representing Peasants, Animals, Labor, Land"
5225,MDVL 946 01,"Early Modern Ecologies: Representing Peasants, Animals, Labor, Land"
5226,JAPN 120 01,Elementary Japanese II
5227,JAPN 120 02,Elementary Japanese II
5228,JAPN 120 03,Elementary Japanese II
5229,JAPN 120 04,Elementary Japanese II
5230,JAPN 120 05,Elementary Japanese II
5231,JAPN 140 01,Intermediate Japanese II
5232,JAPN 140 02,Intermediate Japanese II
5233,JAPN 151 01,Advanced Japanese II
5234,JAPN 157 01,Advanced Japanese IV
5236,JDST 128 01,Jews in Early Christian Sources
5236,JDST 708 01,Jews in Early Christian Sources
5236,RLST 232 01,Jews in Early Christian Sources
5236,RLST 738 01,Jews in Early Christian Sources
5238,JDST 202 01,Jewish Identity in the Pre-Islamic Mediterranean World
5238,RLST 146 01,Jewish Identity in the Pre-Islamic Mediterranean World
5244,JDST 290 01,Contemporary American Judaisms
5246,JDST 306 01,Israeli Narratives
5246,MMES 157 01,Israeli Narratives
5246,NELC 157 01,Israeli Narratives
5246,NELC 557 01,Israeli Narratives
